scores	parameters
-6.329736301157792	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 10, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'linear', 'model__max_iter': 2000, 'model__nu': 0.25, 'model__shrinking': True, 'model__tol': 0.0001
-7.233471385051705	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 1, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 'scale', 'model__kernel': 'linear', 'model__max_iter': 2000, 'model__nu': 0.5, 'model__shrinking': True, 'model__tol': 0.0001
-7.3387160179057345	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 1, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 'scale', 'model__kernel': 'linear', 'model__max_iter': 2000, 'model__nu': 0.25, 'model__shrinking': True, 'model__tol': 0.0001
-7.6938896417511105	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 1, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 'scale', 'model__kernel': 'linear', 'model__max_iter': 2000, 'model__nu': 0.5, 'model__shrinking': True, 'model__tol': 0.001
-7.749183003480877	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 1, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'linear', 'model__max_iter': 2000, 'model__nu': 0.25, 'model__shrinking': True, 'model__tol': 0.0001
-7.7714690005324485	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 1, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 'scale', 'model__kernel': 'linear', 'model__max_iter': 2000, 'model__nu': 0.25, 'model__shrinking': True, 'model__tol': 0.001
-7.83384376084732	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 1, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'linear', 'model__max_iter': 2000, 'model__nu': 0.5, 'model__shrinking': True, 'model__tol': 0.001
-7.852814755669732	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 1, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'linear', 'model__max_iter': 2000, 'model__nu': 0.5, 'model__shrinking': True, 'model__tol': 0.0001
-7.881820334336058	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 1, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'linear', 'model__max_iter': 2000, 'model__nu': 0.25, 'model__shrinking': True, 'model__tol': 0.001
-10.671088073402894	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 1, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 'scale', 'model__kernel': 'rbf', 'model__max_iter': 2000, 'model__nu': 0.5, 'model__shrinking': True, 'model__tol': 0.001
-10.928974964712733	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 1, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 'scale', 'model__kernel': 'rbf', 'model__max_iter': 2000, 'model__nu': 0.5, 'model__shrinking': True, 'model__tol': 0.0001
-11.069098667527609	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 1, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 'scale', 'model__kernel': 'rbf', 'model__max_iter': 2000, 'model__nu': 0.5, 'model__shrinking': True, 'model__tol': 0.001
-11.06971315456882	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 1, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 'scale', 'model__kernel': 'rbf', 'model__max_iter': 2000, 'model__nu': 0.5, 'model__shrinking': True, 'model__tol': 0.0001
-11.209526241473977	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 1, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'rbf', 'model__max_iter': 2000, 'model__nu': 0.5, 'model__shrinking': True, 'model__tol': 0.0001
-11.28260169345111	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 1, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'rbf', 'model__max_iter': 2000, 'model__nu': 0.5, 'model__shrinking': True, 'model__tol': 0.001
-12.180269619859919	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 1, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'rbf', 'model__max_iter': 2000, 'model__nu': 0.5, 'model__shrinking': True, 'model__tol': 0.0001
-12.202404573392833	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 1, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'rbf', 'model__max_iter': 2000, 'model__nu': 0.5, 'model__shrinking': True, 'model__tol': 0.001
-14.416862083698987	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 1, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 'scale', 'model__kernel': 'rbf', 'model__max_iter': 2000, 'model__nu': 0.25, 'model__shrinking': True, 'model__tol': 0.0001
-14.505481693734135	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 1, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 'scale', 'model__kernel': 'rbf', 'model__max_iter': 2000, 'model__nu': 0.25, 'model__shrinking': True, 'model__tol': 0.001
-14.568925708721286	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 1, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 'scale', 'model__kernel': 'rbf', 'model__max_iter': 2000, 'model__nu': 0.25, 'model__shrinking': True, 'model__tol': 0.001
-14.61403231432094	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 1, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 'scale', 'model__kernel': 'rbf', 'model__max_iter': 2000, 'model__nu': 0.25, 'model__shrinking': True, 'model__tol': 0.0001
-14.667324972374729	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 1, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'rbf', 'model__max_iter': 2000, 'model__nu': 0.25, 'model__shrinking': True, 'model__tol': 0.0001
-14.706342303910066	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 1, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'rbf', 'model__max_iter': 2000, 'model__nu': 0.25, 'model__shrinking': True, 'model__tol': 0.001
-15.308419410728016	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 1, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'rbf', 'model__max_iter': 2000, 'model__nu': 0.25, 'model__shrinking': True, 'model__tol': 0.001
-15.381119573510734	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 1, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'rbf', 'model__max_iter': 2000, 'model__nu': 0.25, 'model__shrinking': True, 'model__tol': 0.0001
